Headline,URL
"Rishi Sunak apologises for leaving D-Day events early, calling it a 'mistake'",https://www.bbc.com/news/live/uk-politics-69098963
"Myanmar soldiers cut off tattoos and gave detainees urine to drink, witnesses tell BBC",https://www.bbc.com/news/articles/ckmm6jep6l7o
Hiker finds pipe feeding China's tallest waterfall,https://www.bbc.com/news/articles/cp99l9gpzwgo
Euro 2024 build-up: England squad reaction & Scotland latest,https://www.bbc.com/sport/football/live/c9xxn531wljt
